    PID TTY      STAT   TIME COMMAND
    783 ?        Ssl    0:00 /usr/sbin/cups-browsed
    791 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    803 ?        Ss     0:00 /usr/sbin/vsftpd /etc/vsftpd.conf
    816 ?        Ssl    0:00 /usr/sbin/gdm3
    847 ?        Ssl    0:00 /usr/bin/whoopsie -f
    851 ?        Ss     0:00 /usr/sbin/kerneloops --test
    853 ?        Ss     0:00 /usr/sbin/kerneloops
    929 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1037 ?        Ssl    0:00 /usr/lib/upower/upowerd
   1268 ?        Ssl    0:00 /usr/libexec/colord
   1308 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
   1320 ?        Ss     0:00 /lib/systemd/systemd --user
   1321 ?        S      0:00 (sd-pam)
   1326 ?        S<sl   1:33 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1328 ?        SNsl   0:00 /usr/libexec/tracker-miner-fs
   1331 ?        Ss     0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1334 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   1339 ?        Ssl    0:00 /usr/libexec/gvfsd
   1356 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1357 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1368 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1372 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1377 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1382 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1386 ?        Sl     0:00 /usr/libexec/goa-daemon
   1390 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1392 tty2     Sl+    4:28 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   1401 ?        Sl     0:00 /usr/libexec/goa-identity-service
   1425 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   1492 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1509 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   1514 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   1520 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   1527 ?        Ssl    0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1541 ?        Ssl    4:38 /usr/bin/gnome-shell
   1560 ?        Sl     0:14 ibus-daemon --panel disable --xim
   1564 ?        Sl     0:00 /usr/libexec/ibus-memconf
   1565 ?        Sl     0:02 /usr/libexec/ibus-extension-gtk3
   1569 ?        Sl     0:00 /usr/libexec/ibus-x11 --kill-daemon
   1572 ?        Sl     0:00 /usr/libexec/ibus-portal
   1582 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   1585 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   1591 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
   1597 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   1608 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   1617 ?        Sl     0:00 /usr/libexec/dconf-service
   1621 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   1637 ?        Sl     0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1643 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
   1652 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   1667 ?        Ssl    0:00 /usr/libexec/gsd-color
   1668 ?        Ssl    0:00 /usr/libexec/gsd-datetime
   1672 ?        Ssl    0:00 /usr/libexec/gsd-housekeeping
   1683 ?        Ssl    0:00 /usr/libexec/gsd-keyboard
   1686 ?        Ssl    0:00 /usr/libexec/gsd-media-keys
   1687 ?        Ssl    0:00 /usr/libexec/gsd-power
   1688 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   1689 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   1690 ?        Ssl    0:00 /usr/libexec/gsd-rfkill
   1697 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   1708 ?        Ssl    0:00 /usr/libexec/gsd-sharing
   1715 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   1721 ?        Ssl    0:00 /usr/libexec/gsd-sound
   1723 ?        Ssl    0:00 /usr/libexec/gsd-usb-protection
   1725 ?        Ssl    0:00 /usr/libexec/gsd-wacom
   1730 ?        Ssl    0:00 /usr/libexec/gsd-wwan
   1732 ?        Ssl    0:00 /usr/libexec/gsd-xsettings
   1736 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1782 ?        Sl     0:00 /usr/libexec/gsd-printer
   1807 ?        Sl     0:08 /snap/snap-store/547/usr/bin/snap-store --gapplication-service
   1830 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   1856 ?        Sl     0:04 /usr/libexec/ibus-engine-simple
   1934 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal
   1938 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal-gtk
   2041 ?        S<     0:00 [loop11]
   2378 ?        S<     0:00 [loop12]
   2529 ?        S<     0:00 [loop1]
   2532 ?        Sl     0:00 /usr/lib/ibus/ibus-engine-libpinyin --ibus
   2638 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   2641 ?        Sl     0:00 update-notifier
   2747 ?        S<     0:00 [loop4]
   3184 ?        S<     0:00 [loop13]
   5066 ?        S      0:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
   5359 ?        Sl    25:54 /usr/lib/firefox/firefox -new-window
   5404 ?        Sl     0:12 /usr/lib/firefox/firefox -contentproc -parentBuildID 20211028161635 -prefsLen 1 -prefMapSize 241614 -appdir /usr/lib/firefox/browser 5359 true socket
   5430 ?        Sl     0:01 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 102 -prefMapSize 241614 -jsInit 278680 -parentBuildID 20211028161635 -appdir /usr/lib/firefox/browser 5359 true tab
   5471 ?        Sl     0:03 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 4925 -prefMapSize 241614 -jsInit 278680 -parentBuildID 20211028161635 -appdir /usr/lib/firefox/browser 5359 true tab
   5532 ?        Sl    17:21 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 5624 -prefMapSize 241614 -jsInit 278680 -parentBuildID 20211028161635 -appdir /usr/lib/firefox/browser 5359 true tab
   5583 ?        Sl     0:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20211028161635 -prefsLen 5746 -prefMapSize 241614 -appdir /usr/lib/firefox/browser 5359 true rdd
   6495 ?        I<     0:00 [xfsalloc]
   6496 ?        I<     0:00 [xfs_mru_cache]
   6500 ?        S      0:00 [jfsIO]
   6501 ?        S      0:00 [jfsCommit]
   6502 ?        S      0:00 [jfsCommit]
   6503 ?        S      0:00 [jfsSync]
   7393 ?        Sl     0:11 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 5793 -prefMapSize 241614 -jsInit 278680 -parentBuildID 20211028161635 -appdir /usr/lib/firefox/browser 5359 true tab
   7888 ?        Sl     0:00 /usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 5793 -prefMapSize 241614 -jsInit 278680 -parentBuildID 20211028161635 -appdir /usr/lib/firefox/browser 5359 true tab
   9018 ?        Ssl    0:20 /usr/libexec/gnome-terminal-server
   9028 pts/0    Ss     0:00 bash
  10194 ?        I      0:00 [kworker/u256:2-ext4-rsv-conversion]
  10307 ?        I      0:00 [kworker/0:0-events]
  10354 ?        I      0:01 [kworker/1:2-events]
  10434 ?        I      0:00 [kworker/u256:0-events_unbound]
  10503 ?        I      0:00 [kworker/0:2-events]
  10508 ?        I      0:00 [kworker/1:1-events]
  10517 ?        I      0:00 [kworker/u256:1-events_unbound]
  10817 ?        Ssl    0:00 /usr/lib/packagekit/packagekitd
  11415 ?        I      0:00 [kworker/0:1-events]
  11430 ?        Ssl    0:00 /usr/libexec/tracker-store
  11480 pts/0    R+     0:00 ps ax
